"m_date","m_close","m_close_split_adjusted","s_split_date_numerator","s_split_date_denominator","m_shares_outstanding","c_market_cap","fis_weighted_average_basic_shares_outstanding","fis_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_shares_outstanding","fis_adjusted_weighted_average_diluted_shares_outstanding","fis_adjusted_weighted_average_basic_and_diluted_shares_outstanding","c_normalized_weighted_average_basic_shares_outstanding","c_normalized_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_shares_outstanding","c_normalized_adjusted_weighted_average_diluted_shares_outstanding","c_normalized_adjusted_weighted_average_basic_and_diluted_shares_outstanding"
2025-04-10,1.0500,1.0500,,,11673980.0000000000,12257679.00000000000000,12405261,12405261,12405261,12405261,0,12405261,12405261,12405261,12405261,
2025-04-11,0.9140,0.9140,,,11673980.3063457330,10670017.99999999996200,12405261,12405261,12405261,12405261,0,12405261,12405261,12405261,12405261,
2025-04-14,0.9197,0.9197,,,11673979.5585517030,10736559.00000000124910,12405261,12405261,12405261,12405261,0,12405261,12405261,12405261,12405261,
2025-04-15,0.8953,0.8953,,,11673979.6716184520,10451714.00000000007560,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-16,0.9700,0.9700,,,11673980.4123711340,11323760.99999999998000,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-17,0.8550,0.8550,,,11673980.1169590650,9981253.00000000057500,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-21,0.8729,0.8729,,,11673979.8373238630,10190217.00000000001270,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-22,0.8315,0.8315,,,11673979.5550210460,9706913.99999999974900,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-23,0.8760,0.8760,,,14968231.7351598180,13112171.00000000056800,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-24,0.9110,0.9110,,,14968231.6136114150,13636058.99999999906500,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-25,0.9765,0.9765,,,14968232.4628776240,14616478.99999999983600,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-28,1.0000,1.0000,,,14968232.0000000000,14968232.00000000000000,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-29,1.0300,1.0300,,,14968232.0388349520,15417279.00000000056000,11673980,11673980,11673980,11673980,0,11673980,11673980,11673980,11673980,
2025-04-30,1.0600,1.0600,,,14968232.0754716970,15866325.99999999882000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-01,1.0300,1.0300,,,14968232.0388349520,15417279.00000000056000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-02,1.0500,1.0500,,,14968232.3809523800,15716643.99999999900000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-05,1.1200,1.1200,,,14968232.1428571420,16764419.99999999904000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-06,1.1500,1.1500,,,14968232.1739130450,17213467.00000000175000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-07,1.2700,1.2700,,,14968232.2834645660,19009654.99999999882000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-08,1.3200,1.3200,,,14968231.8181818180,19758065.99999999976000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-09,1.2100,1.2100,,,14968232.2314049580,18111560.99999999918000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-12,1.3600,1.3600,,,14968232.3529411760,20356795.99999999936000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-13,1.6800,1.6800,,,14968232.1428571440,25146630.00000000192000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-14,1.4600,1.4600,,,14968232.1917808220,21853619.00000000012000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-15,1.2100,1.2100,,,14968232.2314049580,18111560.99999999918000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-16,1.4800,1.4800,,,14968231.7567567560,22152982.99999999888000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-19,1.3800,1.3800,,,14968231.8840579730,20656160.00000000274000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-20,1.3700,1.3700,,,14968232.1167883200,20506477.99999999840000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-21,1.1900,1.1900,,,14968231.9327731100,17812196.00000000090000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-22,1.2100,1.2100,,,14968232.2314049580,18111560.99999999918000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-23,1.1500,1.1500,,,14968232.1739130450,17213467.00000000175000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
2025-05-27,1.3800,1.3800,,,14968231.8840579730,20656160.00000000274000,14968232,14968232,14968232,14968232,0,14968232,14968232,14968232,14968232,
